,0,1,2,3,4,5
10,"{'label': 'sadness', 'score': 0.029811758548021317}","{'label': 'joy', 'score': 0.14756199717521667}","{'label': 'love', 'score': 0.013062572106719017}","{'label': 'anger', 'score': 0.7603735327720642}","{'label': 'fear', 'score': 0.04267729073762894}","{'label': 'surprise', 'score': 0.006512803491204977}"
11,"{'label': 'sadness', 'score': 0.0525081492960453}","{'label': 'joy', 'score': 0.25367364287376404}","{'label': 'love', 'score': 0.019778259098529816}","{'label': 'anger', 'score': 0.5639932155609131}","{'label': 'fear', 'score': 0.09822460263967514}","{'label': 'surprise', 'score': 0.0118221715092659}"
12,"{'label': 'sadness', 'score': 0.010203292593359947}","{'label': 'joy', 'score': 0.12793967127799988}","{'label': 'love', 'score': 0.01853976771235466}","{'label': 'anger', 'score': 0.8232426643371582}","{'label': 'fear', 'score': 0.01668916828930378}","{'label': 'surprise', 'score': 0.0033854683861136436}"
13,"{'label': 'sadness', 'score': 0.044481754302978516}","{'label': 'joy', 'score': 0.11842349916696548}","{'label': 'love', 'score': 0.006899447645992041}","{'label': 'anger', 'score': 0.772014319896698}","{'label': 'fear', 'score': 0.051957614719867706}","{'label': 'surprise', 'score': 0.006223384290933609}"
14,"{'label': 'sadness', 'score': 0.013324838131666183}","{'label': 'joy', 'score': 0.1467055231332779}","{'label': 'love', 'score': 0.014963248744606972}","{'label': 'anger', 'score': 0.7943361401557922}","{'label': 'fear', 'score': 0.027434343472123146}","{'label': 'surprise', 'score': 0.003235961776226759}"
15,"{'label': 'sadness', 'score': 0.31726014614105225}","{'label': 'joy', 'score': 0.1755206286907196}","{'label': 'love', 'score': 0.010327017866075039}","{'label': 'anger', 'score': 0.36563682556152344}","{'label': 'fear', 'score': 0.11206486821174622}","{'label': 'surprise', 'score': 0.019190484657883644}"
16,"{'label': 'sadness', 'score': 0.012582332827150822}","{'label': 'joy', 'score': 0.23195157945156097}","{'label': 'love', 'score': 0.02113884501159191}","{'label': 'anger', 'score': 0.7023066878318787}","{'label': 'fear', 'score': 0.026147201657295227}","{'label': 'surprise', 'score': 0.005873383022844791}"
17,"{'label': 'sadness', 'score': 0.051615115255117416}","{'label': 'joy', 'score': 0.08166675269603729}","{'label': 'love', 'score': 0.013051869347691536}","{'label': 'anger', 'score': 0.7443166375160217}","{'label': 'fear', 'score': 0.10203008353710175}","{'label': 'surprise', 'score': 0.0073194378055632114}"
18,"{'label': 'sadness', 'score': 0.044986430555582047}","{'label': 'joy', 'score': 0.269535094499588}","{'label': 'love', 'score': 0.024289164692163467}","{'label': 'anger', 'score': 0.38877108693122864}","{'label': 'fear', 'score': 0.25750741362571716}","{'label': 'surprise', 'score': 0.01491081714630127}"
19,"{'label': 'sadness', 'score': 0.06360796093940735}","{'label': 'joy', 'score': 0.08157868683338165}","{'label': 'love', 'score': 0.013552708551287651}","{'label': 'anger', 'score': 0.6711878180503845}","{'label': 'fear', 'score': 0.1605960577726364}","{'label': 'surprise', 'score': 0.009476789273321629}"
20,"{'label': 'sadness', 'score': 0.04576589912176132}","{'label': 'joy', 'score': 0.18096397817134857}","{'label': 'love', 'score': 0.019447918981313705}","{'label': 'anger', 'score': 0.570162296295166}","{'label': 'fear', 'score': 0.1708030253648758}","{'label': 'surprise', 'score': 0.012856866233050823}"
21,"{'label': 'sadness', 'score': 0.07254192233085632}","{'label': 'joy', 'score': 0.11649037152528763}","{'label': 'love', 'score': 0.016907820478081703}","{'label': 'anger', 'score': 0.6243040561676025}","{'label': 'fear', 'score': 0.15368899703025818}","{'label': 'surprise', 'score': 0.016066836193203926}"
22,"{'label': 'sadness', 'score': 0.01540208887308836}","{'label': 'joy', 'score': 0.01280243881046772}","{'label': 'love', 'score': 0.005726797506213188}","{'label': 'anger', 'score': 0.9248116612434387}","{'label': 'fear', 'score': 0.038600970059633255}","{'label': 'surprise', 'score': 0.002655999967828393}"
23,"{'label': 'sadness', 'score': 0.10879576206207275}","{'label': 'joy', 'score': 0.08065253496170044}","{'label': 'love', 'score': 0.01597144454717636}","{'label': 'anger', 'score': 0.5020657181739807}","{'label': 'fear', 'score': 0.2779335379600525}","{'label': 'surprise', 'score': 0.014580975286662579}"
24,"{'label': 'sadness', 'score': 0.02900332398712635}","{'label': 'joy', 'score': 0.2431049793958664}","{'label': 'love', 'score': 0.019145652651786804}","{'label': 'anger', 'score': 0.6360002756118774}","{'label': 'fear', 'score': 0.06565163284540176}","{'label': 'surprise', 'score': 0.007094073109328747}"
25,"{'label': 'sadness', 'score': 0.02184199169278145}","{'label': 'joy', 'score': 0.021759042516350746}","{'label': 'love', 'score': 0.0062477681785821915}","{'label': 'anger', 'score': 0.9088655114173889}","{'label': 'fear', 'score': 0.03751496225595474}","{'label': 'surprise', 'score': 0.0037707495503127575}"
26,"{'label': 'sadness', 'score': 0.024480901658535004}","{'label': 'joy', 'score': 0.3584005832672119}","{'label': 'love', 'score': 0.031205644831061363}","{'label': 'anger', 'score': 0.504132866859436}","{'label': 'fear', 'score': 0.07386420667171478}","{'label': 'surprise', 'score': 0.00791584700345993}"
27,"{'label': 'sadness', 'score': 0.04483979940414429}","{'label': 'joy', 'score': 0.09483695030212402}","{'label': 'love', 'score': 0.010062174871563911}","{'label': 'anger', 'score': 0.7635301351547241}","{'label': 'fear', 'score': 0.07625579833984375}","{'label': 'surprise', 'score': 0.01047514658421278}"
28,"{'label': 'sadness', 'score': 0.04317886382341385}","{'label': 'joy', 'score': 0.11118557304143906}","{'label': 'love', 'score': 0.010744936764240265}","{'label': 'anger', 'score': 0.7654078006744385}","{'label': 'fear', 'score': 0.06244925037026405}","{'label': 'surprise', 'score': 0.007033596746623516}"
29,"{'label': 'sadness', 'score': 0.10879576206207275}","{'label': 'joy', 'score': 0.08065253496170044}","{'label': 'love', 'score': 0.01597144454717636}","{'label': 'anger', 'score': 0.5020657181739807}","{'label': 'fear', 'score': 0.2779335379600525}","{'label': 'surprise', 'score': 0.014580975286662579}"
30,"{'label': 'sadness', 'score': 0.10370474308729172}","{'label': 'joy', 'score': 0.04351210966706276}","{'label': 'love', 'score': 0.00961738545447588}","{'label': 'anger', 'score': 0.5925412774085999}","{'label': 'fear', 'score': 0.24188479781150818}","{'label': 'surprise', 'score': 0.00873968843370676}"
31,"{'label': 'sadness', 'score': 0.04168498143553734}","{'label': 'joy', 'score': 0.2673947215080261}","{'label': 'love', 'score': 0.01601121574640274}","{'label': 'anger', 'score': 0.5481792092323303}","{'label': 'fear', 'score': 0.11686934530735016}","{'label': 'surprise', 'score': 0.009860574267804623}"
32,"{'label': 'sadness', 'score': 0.06771782040596008}","{'label': 'joy', 'score': 0.18573354184627533}","{'label': 'love', 'score': 0.04671986773610115}","{'label': 'anger', 'score': 0.37566691637039185}","{'label': 'fear', 'score': 0.31476062536239624}","{'label': 'surprise', 'score': 0.009401238523423672}"
33,"{'label': 'sadness', 'score': 0.046047843992710114}","{'label': 'joy', 'score': 0.08591008186340332}","{'label': 'love', 'score': 0.01290220208466053}","{'label': 'anger', 'score': 0.7077173590660095}","{'label': 'fear', 'score': 0.13816384971141815}","{'label': 'surprise', 'score': 0.009258595295250416}"
34,"{'label': 'sadness', 'score': 0.07197900861501694}","{'label': 'joy', 'score': 0.0812966525554657}","{'label': 'love', 'score': 0.007364751771092415}","{'label': 'anger', 'score': 0.7850525975227356}","{'label': 'fear', 'score': 0.04757820442318916}","{'label': 'surprise', 'score': 0.006728757172822952}"
35,"{'label': 'sadness', 'score': 0.05575862154364586}","{'label': 'joy', 'score': 0.12137241661548615}","{'label': 'love', 'score': 0.013927974738180637}","{'label': 'anger', 'score': 0.6684419512748718}","{'label': 'fear', 'score': 0.13059286773204803}","{'label': 'surprise', 'score': 0.009906248189508915}"
36,"{'label': 'sadness', 'score': 0.04907437413930893}","{'label': 'joy', 'score': 0.04324953258037567}","{'label': 'love', 'score': 0.01032316591590643}","{'label': 'anger', 'score': 0.7955950498580933}","{'label': 'fear', 'score': 0.09575536847114563}","{'label': 'surprise', 'score': 0.006002434529364109}"
37,"{'label': 'sadness', 'score': 0.06112398952245712}","{'label': 'joy', 'score': 0.09445454180240631}","{'label': 'love', 'score': 0.014777331613004208}","{'label': 'anger', 'score': 0.5925597548484802}","{'label': 'fear', 'score': 0.22741465270519257}","{'label': 'surprise', 'score': 0.009669744409620762}"
38,"{'label': 'sadness', 'score': 0.040121302008628845}","{'label': 'joy', 'score': 0.10665653645992279}","{'label': 'love', 'score': 0.015525195747613907}","{'label': 'anger', 'score': 0.700053334236145}","{'label': 'fear', 'score': 0.12698876857757568}","{'label': 'surprise', 'score': 0.010654810816049576}"
39,"{'label': 'sadness', 'score': 0.017034385353326797}","{'label': 'joy', 'score': 0.4779375493526459}","{'label': 'love', 'score': 0.03464188799262047}","{'label': 'anger', 'score': 0.42624229192733765}","{'label': 'fear', 'score': 0.033223219215869904}","{'label': 'surprise', 'score': 0.010920634493231773}"
40,"{'label': 'sadness', 'score': 0.07198789715766907}","{'label': 'joy', 'score': 0.08279309421777725}","{'label': 'love', 'score': 0.010824982076883316}","{'label': 'anger', 'score': 0.6816434860229492}","{'label': 'fear', 'score': 0.14000265300273895}","{'label': 'surprise', 'score': 0.012747861444950104}"
41,"{'label': 'sadness', 'score': 0.032562505453825}","{'label': 'joy', 'score': 0.13457632064819336}","{'label': 'love', 'score': 0.01571747474372387}","{'label': 'anger', 'score': 0.6371154189109802}","{'label': 'fear', 'score': 0.1719466596841812}","{'label': 'surprise', 'score': 0.008081636391580105}"
42,"{'label': 'sadness', 'score': 0.043154504150152206}","{'label': 'joy', 'score': 0.05156476050615311}","{'label': 'love', 'score': 0.010919868014752865}","{'label': 'anger', 'score': 0.7855556011199951}","{'label': 'fear', 'score': 0.10018274188041687}","{'label': 'surprise', 'score': 0.008622565306723118}"
43,"{'label': 'sadness', 'score': 0.029483260586857796}","{'label': 'joy', 'score': 0.09325059503316879}","{'label': 'love', 'score': 0.00929652713239193}","{'label': 'anger', 'score': 0.780190646648407}","{'label': 'fear', 'score': 0.08248929679393768}","{'label': 'surprise', 'score': 0.005289669614285231}"
44,"{'label': 'sadness', 'score': 0.024127550423145294}","{'label': 'joy', 'score': 0.15818461775779724}","{'label': 'love', 'score': 0.015134286135435104}","{'label': 'anger', 'score': 0.7132124304771423}","{'label': 'fear', 'score': 0.08057327568531036}","{'label': 'surprise', 'score': 0.008767819963395596}"
45,"{'label': 'sadness', 'score': 0.023090781643986702}","{'label': 'joy', 'score': 0.46857672929763794}","{'label': 'love', 'score': 0.019609294831752777}","{'label': 'anger', 'score': 0.38451826572418213}","{'label': 'fear', 'score': 0.08549611270427704}","{'label': 'surprise', 'score': 0.018708815798163414}"
46,"{'label': 'sadness', 'score': 0.12430477887392044}","{'label': 'joy', 'score': 0.10449591279029846}","{'label': 'love', 'score': 0.021248627454042435}","{'label': 'anger', 'score': 0.47243255376815796}","{'label': 'fear', 'score': 0.263784795999527}","{'label': 'surprise', 'score': 0.013733310624957085}"
47,"{'label': 'sadness', 'score': 0.03668949380517006}","{'label': 'joy', 'score': 0.41191473603248596}","{'label': 'love', 'score': 0.05628233775496483}","{'label': 'anger', 'score': 0.17556220293045044}","{'label': 'fear', 'score': 0.2940170466899872}","{'label': 'surprise', 'score': 0.02553417906165123}"
48,"{'label': 'sadness', 'score': 0.04916224256157875}","{'label': 'joy', 'score': 0.07414718717336655}","{'label': 'love', 'score': 0.011370472609996796}","{'label': 'anger', 'score': 0.7426683902740479}","{'label': 'fear', 'score': 0.11259350925683975}","{'label': 'surprise', 'score': 0.0100582055747509}"
49,"{'label': 'sadness', 'score': 0.08474476635456085}","{'label': 'joy', 'score': 0.07422491908073425}","{'label': 'love', 'score': 0.013560009188950062}","{'label': 'anger', 'score': 0.6662225723266602}","{'label': 'fear', 'score': 0.14977885782718658}","{'label': 'surprise', 'score': 0.01146887056529522}"
50,"{'label': 'sadness', 'score': 0.08474476635456085}","{'label': 'joy', 'score': 0.07422491908073425}","{'label': 'love', 'score': 0.013560009188950062}","{'label': 'anger', 'score': 0.6662225723266602}","{'label': 'fear', 'score': 0.14977885782718658}","{'label': 'surprise', 'score': 0.01146887056529522}"
51,"{'label': 'sadness', 'score': 0.06543280929327011}","{'label': 'joy', 'score': 0.1759537309408188}","{'label': 'love', 'score': 0.014670542441308498}","{'label': 'anger', 'score': 0.5926563143730164}","{'label': 'fear', 'score': 0.13974516093730927}","{'label': 'surprise', 'score': 0.011541382409632206}"
52,"{'label': 'sadness', 'score': 0.03366049751639366}","{'label': 'joy', 'score': 0.08984984457492828}","{'label': 'love', 'score': 0.02056116610765457}","{'label': 'anger', 'score': 0.746684730052948}","{'label': 'fear', 'score': 0.10082219541072845}","{'label': 'surprise', 'score': 0.008421576581895351}"
53,"{'label': 'sadness', 'score': 0.031214991584420204}","{'label': 'joy', 'score': 0.12598082423210144}","{'label': 'love', 'score': 0.0225742869079113}","{'label': 'anger', 'score': 0.7432245016098022}","{'label': 'fear', 'score': 0.06596514582633972}","{'label': 'surprise', 'score': 0.01104016788303852}"
54,"{'label': 'sadness', 'score': 0.019960319623351097}","{'label': 'joy', 'score': 0.09481476247310638}","{'label': 'love', 'score': 0.016023311764001846}","{'label': 'anger', 'score': 0.6185147166252136}","{'label': 'fear', 'score': 0.24339383840560913}","{'label': 'surprise', 'score': 0.007292987313121557}"
55,"{'label': 'sadness', 'score': 0.025984156876802444}","{'label': 'joy', 'score': 0.20040097832679749}","{'label': 'love', 'score': 0.016096867620944977}","{'label': 'anger', 'score': 0.6794432997703552}","{'label': 'fear', 'score': 0.06829924881458282}","{'label': 'surprise', 'score': 0.009775456972420216}"
56,"{'label': 'sadness', 'score': 0.02941567450761795}","{'label': 'joy', 'score': 0.07293307781219482}","{'label': 'love', 'score': 0.009220106527209282}","{'label': 'anger', 'score': 0.7955669164657593}","{'label': 'fear', 'score': 0.08581218868494034}","{'label': 'surprise', 'score': 0.007052063476294279}"
57,"{'label': 'sadness', 'score': 0.018944120034575462}","{'label': 'joy', 'score': 0.2508920133113861}","{'label': 'love', 'score': 0.03269572928547859}","{'label': 'anger', 'score': 0.6557767391204834}","{'label': 'fear', 'score': 0.03609587624669075}","{'label': 'surprise', 'score': 0.005595485679805279}"
58,"{'label': 'sadness', 'score': 0.05313391238451004}","{'label': 'joy', 'score': 0.294095516204834}","{'label': 'love', 'score': 0.016797415912151337}","{'label': 'anger', 'score': 0.4483998417854309}","{'label': 'fear', 'score': 0.16993923485279083}","{'label': 'surprise', 'score': 0.017634021118283272}"
59,"{'label': 'sadness', 'score': 0.12322879582643509}","{'label': 'joy', 'score': 0.09168784320354462}","{'label': 'love', 'score': 0.015862710773944855}","{'label': 'anger', 'score': 0.4342838227748871}","{'label': 'fear', 'score': 0.32143762707710266}","{'label': 'surprise', 'score': 0.013499245047569275}"
60,"{'label': 'sadness', 'score': 0.11669459939002991}","{'label': 'joy', 'score': 0.16433079540729523}","{'label': 'love', 'score': 0.02314094454050064}","{'label': 'anger', 'score': 0.5352962017059326}","{'label': 'fear', 'score': 0.14469245076179504}","{'label': 'surprise', 'score': 0.015845032408833504}"
61,"{'label': 'sadness', 'score': 0.10879576206207275}","{'label': 'joy', 'score': 0.08065253496170044}","{'label': 'love', 'score': 0.01597144454717636}","{'label': 'anger', 'score': 0.5020657181739807}","{'label': 'fear', 'score': 0.2779335379600525}","{'label': 'surprise', 'score': 0.014580975286662579}"
62,"{'label': 'sadness', 'score': 0.0203848909586668}","{'label': 'joy', 'score': 0.16759434342384338}","{'label': 'love', 'score': 0.017374103888869286}","{'label': 'anger', 'score': 0.5754363536834717}","{'label': 'fear', 'score': 0.20875126123428345}","{'label': 'surprise', 'score': 0.010459056124091148}"
63,"{'label': 'sadness', 'score': 0.06135036423802376}","{'label': 'joy', 'score': 0.10581835359334946}","{'label': 'love', 'score': 0.014610405080020428}","{'label': 'anger', 'score': 0.3387780487537384}","{'label': 'fear', 'score': 0.466652512550354}","{'label': 'surprise', 'score': 0.012790439650416374}"
64,"{'label': 'sadness', 'score': 0.12322879582643509}","{'label': 'joy', 'score': 0.09168784320354462}","{'label': 'love', 'score': 0.015862710773944855}","{'label': 'anger', 'score': 0.4342838227748871}","{'label': 'fear', 'score': 0.32143762707710266}","{'label': 'surprise', 'score': 0.013499245047569275}"
65,"{'label': 'sadness', 'score': 0.07014736533164978}","{'label': 'joy', 'score': 0.14485782384872437}","{'label': 'love', 'score': 0.026263322681188583}","{'label': 'anger', 'score': 0.3293737769126892}","{'label': 'fear', 'score': 0.41657570004463196}","{'label': 'surprise', 'score': 0.012782009318470955}"
66,"{'label': 'sadness', 'score': 0.04714810103178024}","{'label': 'joy', 'score': 0.03647821769118309}","{'label': 'love', 'score': 0.010499916970729828}","{'label': 'anger', 'score': 0.7414502501487732}","{'label': 'fear', 'score': 0.15749242901802063}","{'label': 'surprise', 'score': 0.00693106884136796}"
67,"{'label': 'sadness', 'score': 0.05005108192563057}","{'label': 'joy', 'score': 0.12120301276445389}","{'label': 'love', 'score': 0.019127925857901573}","{'label': 'anger', 'score': 0.6644633412361145}","{'label': 'fear', 'score': 0.13758933544158936}","{'label': 'surprise', 'score': 0.00756527204066515}"
68,"{'label': 'sadness', 'score': 0.13985945284366608}","{'label': 'joy', 'score': 0.1248701885342598}","{'label': 'love', 'score': 0.019554737955331802}","{'label': 'anger', 'score': 0.3669340908527374}","{'label': 'fear', 'score': 0.33411622047424316}","{'label': 'surprise', 'score': 0.014665312133729458}"
69,"{'label': 'sadness', 'score': 0.13051745295524597}","{'label': 'joy', 'score': 0.0822792649269104}","{'label': 'love', 'score': 0.012966952286660671}","{'label': 'anger', 'score': 0.31736865639686584}","{'label': 'fear', 'score': 0.4423171281814575}","{'label': 'surprise', 'score': 0.014550536870956421}"
70,"{'label': 'sadness', 'score': 0.07014736533164978}","{'label': 'joy', 'score': 0.14485782384872437}","{'label': 'love', 'score': 0.026263322681188583}","{'label': 'anger', 'score': 0.3293737769126892}","{'label': 'fear', 'score': 0.41657570004463196}","{'label': 'surprise', 'score': 0.012782009318470955}"
71,"{'label': 'sadness', 'score': 0.0211695097386837}","{'label': 'joy', 'score': 0.1498306393623352}","{'label': 'love', 'score': 0.0447147861123085}","{'label': 'anger', 'score': 0.47845861315727234}","{'label': 'fear', 'score': 0.29396986961364746}","{'label': 'surprise', 'score': 0.01185671053826809}"
72,"{'label': 'sadness', 'score': 0.03201834112405777}","{'label': 'joy', 'score': 0.08389511704444885}","{'label': 'love', 'score': 0.014186128973960876}","{'label': 'anger', 'score': 0.7792280912399292}","{'label': 'fear', 'score': 0.08483429998159409}","{'label': 'surprise', 'score': 0.005838043987751007}"
73,"{'label': 'sadness', 'score': 0.12322879582643509}","{'label': 'joy', 'score': 0.09168784320354462}","{'label': 'love', 'score': 0.015862710773944855}","{'label': 'anger', 'score': 0.4342838227748871}","{'label': 'fear', 'score': 0.32143762707710266}","{'label': 'surprise', 'score': 0.013499245047569275}"
74,"{'label': 'sadness', 'score': 0.032894283533096313}","{'label': 'joy', 'score': 0.038205746561288834}","{'label': 'love', 'score': 0.006030363030731678}","{'label': 'anger', 'score': 0.8520760536193848}","{'label': 'fear', 'score': 0.06484446674585342}","{'label': 'surprise', 'score': 0.005949095822870731}"
75,"{'label': 'sadness', 'score': 0.056867752224206924}","{'label': 'joy', 'score': 0.04932450130581856}","{'label': 'love', 'score': 0.011599562130868435}","{'label': 'anger', 'score': 0.6052792072296143}","{'label': 'fear', 'score': 0.26744022965431213}","{'label': 'surprise', 'score': 0.00948877353221178}"
76,"{'label': 'sadness', 'score': 0.03669128566980362}","{'label': 'joy', 'score': 0.08709978312253952}","{'label': 'love', 'score': 0.017165623605251312}","{'label': 'anger', 'score': 0.7467455267906189}","{'label': 'fear', 'score': 0.10684312880039215}","{'label': 'surprise', 'score': 0.00545461755245924}"
77,"{'label': 'sadness', 'score': 0.0278816856443882}","{'label': 'joy', 'score': 0.019888026639819145}","{'label': 'love', 'score': 0.006814293097704649}","{'label': 'anger', 'score': 0.5359363555908203}","{'label': 'fear', 'score': 0.40384724736213684}","{'label': 'surprise', 'score': 0.005632399115711451}"
78,"{'label': 'sadness', 'score': 0.10427115857601166}","{'label': 'joy', 'score': 0.04175586998462677}","{'label': 'love', 'score': 0.005806788802146912}","{'label': 'anger', 'score': 0.6477249264717102}","{'label': 'fear', 'score': 0.18839173018932343}","{'label': 'surprise', 'score': 0.012049468234181404}"
79,"{'label': 'sadness', 'score': 0.05489135906100273}","{'label': 'joy', 'score': 0.13467659056186676}","{'label': 'love', 'score': 0.019819462671875954}","{'label': 'anger', 'score': 0.49582409858703613}","{'label': 'fear', 'score': 0.2830529808998108}","{'label': 'surprise', 'score': 0.011735533364117146}"
80,"{'label': 'sadness', 'score': 0.040558286011219025}","{'label': 'joy', 'score': 0.32273581624031067}","{'label': 'love', 'score': 0.011391007341444492}","{'label': 'anger', 'score': 0.5528224110603333}","{'label': 'fear', 'score': 0.06316760182380676}","{'label': 'surprise', 'score': 0.009324892424046993}"
81,"{'label': 'sadness', 'score': 0.10879576206207275}","{'label': 'joy', 'score': 0.08065253496170044}","{'label': 'love', 'score': 0.01597144454717636}","{'label': 'anger', 'score': 0.5020657181739807}","{'label': 'fear', 'score': 0.2779335379600525}","{'label': 'surprise', 'score': 0.014580975286662579}"
82,"{'label': 'sadness', 'score': 0.12430477887392044}","{'label': 'joy', 'score': 0.10449591279029846}","{'label': 'love', 'score': 0.021248627454042435}","{'label': 'anger', 'score': 0.47243255376815796}","{'label': 'fear', 'score': 0.263784795999527}","{'label': 'surprise', 'score': 0.013733310624957085}"
83,"{'label': 'sadness', 'score': 0.07034027576446533}","{'label': 'joy', 'score': 0.15579460561275482}","{'label': 'love', 'score': 0.021689463406801224}","{'label': 'anger', 'score': 0.5882101655006409}","{'label': 'fear', 'score': 0.14566248655319214}","{'label': 'surprise', 'score': 0.018303025513887405}"
84,"{'label': 'sadness', 'score': 0.042951710522174835}","{'label': 'joy', 'score': 0.16299007833003998}","{'label': 'love', 'score': 0.017400464043021202}","{'label': 'anger', 'score': 0.620170533657074}","{'label': 'fear', 'score': 0.14368067681789398}","{'label': 'surprise', 'score': 0.01280655525624752}"
85,"{'label': 'sadness', 'score': 0.048456981778144836}","{'label': 'joy', 'score': 0.053951770067214966}","{'label': 'love', 'score': 0.01740514487028122}","{'label': 'anger', 'score': 0.49074721336364746}","{'label': 'fear', 'score': 0.38261932134628296}","{'label': 'surprise', 'score': 0.006819587200880051}"
86,"{'label': 'sadness', 'score': 0.10879576206207275}","{'label': 'joy', 'score': 0.08065253496170044}","{'label': 'love', 'score': 0.01597144454717636}","{'label': 'anger', 'score': 0.5020657181739807}","{'label': 'fear', 'score': 0.2779335379600525}","{'label': 'surprise', 'score': 0.014580975286662579}"
87,"{'label': 'sadness', 'score': 0.02373526059091091}","{'label': 'joy', 'score': 0.022502949461340904}","{'label': 'love', 'score': 0.0055387443862855434}","{'label': 'anger', 'score': 0.8654008507728577}","{'label': 'fear', 'score': 0.07949427515268326}","{'label': 'surprise', 'score': 0.0033278309274464846}"
88,"{'label': 'sadness', 'score': 0.02876615896821022}","{'label': 'joy', 'score': 0.0363818034529686}","{'label': 'love', 'score': 0.007405233569443226}","{'label': 'anger', 'score': 0.8667422533035278}","{'label': 'fear', 'score': 0.0570700466632843}","{'label': 'surprise', 'score': 0.003634525230154395}"
89,"{'label': 'sadness', 'score': 0.04071472957730293}","{'label': 'joy', 'score': 0.15381702780723572}","{'label': 'love', 'score': 0.022948894649744034}","{'label': 'anger', 'score': 0.3051176369190216}","{'label': 'fear', 'score': 0.46010294556617737}","{'label': 'surprise', 'score': 0.017298808321356773}"
90,"{'label': 'sadness', 'score': 0.07014736533164978}","{'label': 'joy', 'score': 0.14485782384872437}","{'label': 'love', 'score': 0.026263322681188583}","{'label': 'anger', 'score': 0.3293737769126892}","{'label': 'fear', 'score': 0.41657570004463196}","{'label': 'surprise', 'score': 0.012782009318470955}"
91,"{'label': 'sadness', 'score': 0.052323974668979645}","{'label': 'joy', 'score': 0.0996285006403923}","{'label': 'love', 'score': 0.010995588265359402}","{'label': 'anger', 'score': 0.7312451601028442}","{'label': 'fear', 'score': 0.09780797362327576}","{'label': 'surprise', 'score': 0.007998762652277946}"
92,"{'label': 'sadness', 'score': 0.10228424519300461}","{'label': 'joy', 'score': 0.16702288389205933}","{'label': 'love', 'score': 0.016343319788575172}","{'label': 'anger', 'score': 0.33637142181396484}","{'label': 'fear', 'score': 0.35697123408317566}","{'label': 'surprise', 'score': 0.021006902679800987}"
