COMERCIO,COMENTÁRIO,DATA,AVALIACAO,SETOR,TextBlob,Unnamed: 6
Nova Opção de Bilhar,Lugar muito agradável tranquilo pode ir cm ha familia cerveja bem gelada bom petisco uma jantinha muito gostosa e barata va e confira sempre vai estar la to la tds os dias vcs nao vai se arrepender bom atendimento show de bola,4 anos atrás,5,Leste universitário,,
Nova Opção de Bilhar,"Ótimo passa tempo, tem cerveja com o buquê, e dá pra errar umas bolinha de sinuca com sucesso 🤙",um ano atrás,5,Leste universitário,,
Nova Opção de Bilhar,"Um ótimo lugar para pessoas LGBTs, cerveja Antártica 7,50, infelizmente não vende Itaipava.Mas quando chega às 23h os clientes são expulsos.Apesar dos pesares gosto muito do ambiente!",um ano atrás,4,Leste universitário,,
Nova Opção de Bilhar,Ambiente tranquilo para jogar uma sinuca ou mesmo para comer um petisco.,9 meses atrás,5,Leste universitário,,
Nova Opção de Bilhar,"Cervejaaaa super gelada, o ambiente agradável e o atendimento do funcionário Alan impecável, atencioso e cordial. 👏🏻👍🏻 …",um ano atrás,5,Leste universitário,,
Nova Opção de Bilhar,"Botecão. Cerveja gelada, tira gostos e sinuca. Aberto até tarde (Pena que fecha.) Para beber sem frescura, melhor da cidade.",2 anos atrás,5,Leste universitário,,
Nova Opção de Bilhar,"Serviço péssimo, falta de respeito com cliente, comida cara de qualidade ordinária, não recomendo :)",um ano atrás,1,Leste universitário,,
Nova Opção de Bilhar,"Cerveja gelada no ponto certo, excelente cardápio, sabor da comida bem caseiro. Lugar simples mas que proporciona bons momentos.",2 anos atrás,5,Leste universitário,,
Nova Opção de Bilhar,"A cerveja é bem barata, porém não muito confiável referente a originalidade. O atendimento é bom. Comida poderia ser mais acessível pelo ambiente e qualidade.",3 anos atrás,3,Leste universitário,,
Nova Opção de Bilhar,"Lugar tranquilo, tem 6 mesas de sinuca. Cerveja e comida boa.",um ano atrás,4,Leste universitário,,
Nova Opção de Bilhar,cerveja bem gelada mesas de sinuca otimas preço bacana. publico jovem e descolados e diversos garçons bem preparados otimo local,2 anos atrás,5,Leste universitário,,
Nova Opção de Bilhar,"Horrível !!!!! Pedi um torresmo , misericórdia passei até mau! Frio , caro , e não era torresmo do porco , parecia aqueles de saquinho que compra pra criança no mercado ! Affs",2 anos atrás,1,Leste universitário,,
Nova Opção de Bilhar,Péssimo lugar não recomendo. Atendimento nota zero. Única coisa boa foi o feijão. Lugar até fede,2 anos atrás,1,Leste universitário,,
Nova Opção de Bilhar,"Melhor bar de Goiânia, cerveja geladissima, vinagrete top demais, espetinho na hora. Perfeito",um ano atrás,5,Leste universitário,,
Nova Opção de Bilhar,O que antes era a melhor opção tem se tornar no a pior opção. Houve uma mudança na equipe de atendimento e simplesmente está impossível ter uma boa noite de diversão no lugar. Muito triste pelo que o estabelecimento se tornou.,4 anos atrás,1,Leste universitário,,
Glória Bar e Restaurante,"Visitei o local em horário de almoço, o atendimento foi excelente, local super agradável, comida excelente... mas os valores são bem salgados.",um mês atrás,5,Sul,,28/7
Glória Bar e Restaurante,"É bacana! Mas achei muito caro, comparando a outros bares bons de Goiânia!",2 meses atrás,5,Sul,,
Glória Bar e Restaurante,Ambiente super agradável! Atendimento nata 10 ! Garçom Fred super atencioso .,5 meses atrás,5,Sul,,
Glória Bar e Restaurante,"Um super ""boteco"" . Agradável, iluminação super boa, música muito legal e um atendimento primoroso. Os garçons são praticamente amigos, mãos que atendentes. Muita comida boa, petiscos ótimos e uma cerveja super gelada. Chopp tambem é ótimo, inclusive um chopp IPA. Não funciona as terças-feiras. Um lugar descontraído, plural, com gente interessante. Vale muito a visita.",4 semanas atrás,4,Sul,,
Glória Bar e Restaurante,"Restaurante/bar de fácil acesso em Goiânia, tem fabricação própria do Chopp excelente, o melhor que tomei, o volume do som é agradável assim como todo restante, comida é servida rápida, pena que não dá pra levar as crianças pq não tem playground. Mas ir com amigos é top",9 meses atrás,5,Sul,,
Glória Bar e Restaurante,"Ainda longe de ser um boteco tradicional! Comida sem sal, parmegiana muito molho, faltou sabor, queijo de baixa qualidade! Atendimento razoável! Cobram 10 reais um pão francês para xuxar o pão no molho da carne! Não vale o preço!",3 semanas atrás,2,Sul,,
Glória Bar e Restaurante,"A comida estava tão gostosa que nem deu tempo de tirar foto. A música sempre muito boa, mpb, samba e afins. Os drinks da foto são o mojito de tangerina e moscou mule: ambos gostosos e refrescantes para acompanhar a feijoada. Estacionar por perto é, na maioria das vezes, um desafio por estar sempre cheio.",um ano atrás,5,Sul,,
Glória Bar e Restaurante,"Boteco que tinha tudo pra dar certo, boa localização, porém peca No atendimento, na entrega, os pratos demoram muito, além disso não são bons. Estive no boteco pelo menos por três vezes pra escrever essa avaliação",3 semanas atrás,2,Sul,,
Glória Bar e Restaurante,"Bar maravilhoso em tudo: bons petiscos, chope gelado, musica excelente   pessoal simpático e atencioso. Amei.",8 meses atrás,5,Sul,,
Glória Bar e Restaurante,"Sabe aquele bar raiz e que nos remete ao Rio de Janeiro? É o Glória. Vários quadros nas paredes, piso quadriculado, calçada de pedra portuguesa. Atendimento excepcional dos garçons e garçonetes. Cerveja estupidamente gelada e o torresmo estava maravilhoso, bem sequinho, crocante e ao mesmo tempo suculento.",um ano atrás,5,Sul,,
Glória Bar e Restaurante,"O ambiente é muito interessante. A comida uma delícia. MAS o atendimento não foi bom. Logo quando chegamos o garçom já não foi muito receptivo. Eu estava com meu esposo, o garçom ficou perguntando se éramos irmãos e questionando questões relacionadas à idade dele (em nenhum momento foi solicitada a identidade). Fui ao caixa fechar a conta e decidi não pagar os 10% (além de eu não ter gostado do atendimento, tinha um aviso dizendo que, por lei, não é obrigatório pagar). A moça que me atendeu foi super grossa, questionou o motivo de eu não querer pagar e ficou gritando para o dono e para o garçom que era sem os 10%. Foi tão constrangedor que eu desisti de relatar o ocorrido com o garçom. O problema desses lugares é que trabalhador não gosta de atender trabalhador. Gosta de atender quem parece ser rico.",5 meses atrás,4,Sul,,
Glória Bar e Restaurante,"Excelente ! É um bar ao estilo carioca, com lugares internos e externos (na calçada). Chopp gostoso e gelado, drinks e espumante, tira-gostos e pratos saborosos. O pastel de carne com pequi é imperdível.",2 meses atrás,4,Sul,,
Glória Bar e Restaurante,"A feijoada é de boa qualidade. Excelente torresmo. Acho que vem couve refogada em excesso. Bons produtos e matéria prima. Porém, acho o valor alto de mais. Tem feijoadas tão boas quanto espalhadas pela cidade que não são tão caras. Encontro nos concorrentes pela metade do preço em bons estabelecimentos. Não acho que valha a pena gastar tanto num prato tão simples. Pode ter ganhado vários prêmios outrora de revistas especializada porém, isso não deveria refletir no preço. Parece feijoada de grife ou o termo da moda gourmet, de tão cara. Poderiam adequar o preço para atingir um público maior de pessoas. Não seria demérito nenhum reestruturar o cardápio e colocar os preços dentro da realidade econômica brasileira. Difícil fazer essa extravagância em comer a feijoada do Glória mais de uma vez por mês. Acho que nem valha a pena, o sacrifício financeiro!",10 meses atrás,3,Sul,,
Glória Bar e Restaurante,"Lugar super animado, música brasileira boa (tanto as playlists quanto as apresentações ao vivo), atendimento caloroso. Diversas opções de petiscos, pratos e bebidas. Decoração é um atrativo à parte, cheio de detalhes que remetem à artes e esportes.",4 meses atrás,5,Sul,,
Glória Bar e Restaurante,Na sua categoria um restaurante inigualável. Recomendo. Simplesmente divinoooo.,2 meses atrás,5,Sul,,
Glória Bar e Restaurante,"Avaliação da minha filha: Eu amei a feijoada ela é maravilhosa! Tudo de bom , e o petit gateau que eu pedi era DIVINO!! O bolinho dele estava quentinho e o sorvete combinava perfeitamente ! O atendimento estava ótimo . Amei !!",3 meses atrás,5,Sul,,
Glória Bar e Restaurante,"Ótima comida (caldo e bacalhau), ótima IPA da casa. Excelente!",5 meses atrás,5,Sul,,
Glória Bar e Restaurante,"Local aconchegante, bastante decorado, tem uma vibe de boteco carioca, ótima feijoada, torresminho bom demais 🍺 …",um ano atrás,5,Sul,,
Glória Bar e Restaurante,"Entrega o qu se vê, bar clássico e muito agradável. Os drink´s  sã ótimos e as comidinhas deliciosas, bom atendimento e musica boa. Recomendo...",2 meses atrás,5,Sul,,
Glória Bar e Restaurante,"Local Agradável e excelente atendimento. Fomos em uma quinta-feira onde há dobradinha de drink e chopp para mulheres. No sábado saborosa feijoada, onde uma nos atendeu bem (casal) . Lembra botequim de SP, gostamos muito, voltaremos. Obs.: atendimento para nós foi 10.",3 meses atrás,5,Sul,,
Glória Bar e Restaurante,"Lugar perfeito pra quem quer passar bons momentos. Fica ainda melhor, quando se está em ótimas companhias.",2 semanas atrás,5,Sul,,
Glória Bar e Restaurante,"Melhor bar de Goiânia, o chopp e a porção de pastel são grandes diferenciais!",uma semana atrás,5,Sul,,
Glória Bar e Restaurante,"Música excelente, chopp bem gelado e atendimento excepcional. Super movimentado ao sábado, quando rola um sambão. Chegue cedo ou espere uma mesa, que pode demorar bastante. O couvert é R$ no sábado da feijoada, o que vale totalmente a experiência. Apenas como dica poderiam informar o valor no momento que o cliente se instalasse. Nada que tire a vibe maravilhosa do local! Ponto importantíssimo para se visitar na cidade e conhecer as raizes goianas.",3 anos atrás,5,Sul,,
Glória Bar e Restaurante,"Boa música,  ambiente agradável, bons drinks e o bolinho de carne seca com mandioca estava divino! Sequinho e crocante.",5 meses atrás,5,Sul,,
Glória Bar e Restaurante,"Excelente comida, adorei! Achei o preço um pouquinho caro, mas é realmente muito gostoso.",2 meses atrás,4,Sul,,
Glória Bar e Restaurante,Lugar muito aconchegante e receptivo! Ótimos atendentes. Comida boa e muita variedade!,2 meses atrás,5,Sul,,
Glória Bar e Restaurante,Experiência muito boa. Nada a reclamar. Tudo estava bom e o atendimento excelente,um mês atrás,5,Sul,,
Glória Bar e Restaurante,"Bom atendimento. Preço compatível com o local. Bom ambiente. Apenas não gostei das cadeiras de madeira, bastante desconfortáveis",10 meses atrás,4,Sul,,
Glória Bar e Restaurante,O bar mais carioca de Goiânia. Atendimento impecável e uma feijoada sem igual.,um ano atrás,5,Sul,,
Glória Bar e Restaurante,O melhor pastel de camarão em Goiânia. A feijoada e perfeita e o atendimento é indescritivelmente perfeito!!!,5 meses atrás,5,Sul,,
Glória Bar e Restaurante,Adoro esse lugar! Dia de sábado uma feijoada de primeira e um samba maravilhoso!!,3 anos atrás,5,Sul,,
Glória Bar e Restaurante,"É muito gostoso a comida, mas o ambiente é um calor insuportável, os preços são absurdos",3 anos atrás,3,Sul,,
Glória Bar e Restaurante,"Top, cervejas geladas e variadas, a carta de aguardente então... Típico bar temático ao samba e futebol, com música ao vivo de ótima qualidade, acompanhada da tradicional feju aos sábados, público acima dos 30 mas recomendadissimo à aqueles que prezam por bom ambiente com boa música e cardápio idem. Preços não são convidativos, mas pelo oferecido não foge muito ao esquadro e ao esperado numa visita à Lapa Goiana.",3 anos atrás,5,Sul,,
Glória Bar e Restaurante,"Comida gostosa, cerveja gelada, ótimo atendimento, o preço é um pouco salgado.",2 meses atrás,4,Sul,,
Glória Bar e Restaurante,Bar com bebidas e comidas muito gostosas e um ambiente com mesas ao ar livre que nos da uma sensação de liberdade. muito bom,2 meses atrás,4,Sul,,
Glória Bar e Restaurante,Simples e requintado ao mesmo tempo. Ambiente ideal para conversas com amigos e família.,3 semanas atrás,5,Sul,,
Glória Bar e Restaurante,Excelente botequim. Recomendo o galeto na cerveja preta que serve muito bem a duas pessoas. Custa 39 reais. O atendimento é ótimo. Drinks especiais e autorais em cardápio próprio que em média custam 25 reais.,4 anos atrás,5,Sul,,
Glória Bar e Restaurante,Matar a saudade do Rio no Gloria foi tudo! Otima opção pra um relax depois do trabalho,2 meses atrás,5,Sul,,
Glória Bar e Restaurante,"Lugar super legal bem a moda antiga rs, Boas bebidas e deliciosas comidas e petiscos , samba e feijoada e o que descreve melhor o local .",3 anos atrás,5,Sul,,
Glória Bar e Restaurante,"Lugar mto interessante, bem transado porém muito caro. Uma verdadeira exploração.",3 meses atrás,4,Sul,,
Glória Bar e Restaurante,"Não gosto muito desse lugar. Por duas vezes tive tratamento discriminatório. Entretanto a feijoada é boa. Os preços são altos e se os garçons não pensarem que vc tem muito dinheiro não vão te atender bem. Enfim, não volto mais.",5 anos atrás,3,Sul,,
Glória Bar e Restaurante,"Ambiente ótimo com uma área emar livre, bom atendimento e ótimos petiscos",2 meses atrás,5,Sul,,
Glória Bar e Restaurante,"Excelente... Ambiente, atendimento, petiscos deliciosos. Super recomendo",3 meses atrás,5,Sul,,
Glória Bar e Restaurante,"Lugar tradicional, mais precisa de uma reforma geral, tanta no visual, como na sua programação artística...mais valeu o Torresminho com cerveja",5 meses atrás,3,Sul,,
Glória Bar e Restaurante,Lugar agradável com chopp bem gelado! Petiscos incríveis!,2 meses atrás,5,Sul,,
Glória Bar e Restaurante,Excelente qualidade nas bebidas e comidas. Ótimo atendimento. Experimentei uma língua ao molho madeira e estava simplesmente deliciosa. Parabéns.,3 anos atrás,5,Sul,,
Glória Bar e Restaurante,"Excelente como sempre , o pastel de camarão é uma delícia, Atendimento nota 10.",3 meses atrás,5,Sul,,
Glória Bar e Restaurante,"Ótimo local, comida muito gostosa, cerveja sempre bem gelada e garçons extremamente educados e prestativos.",6 meses atrás,5,Sul,,
Glória Bar e Restaurante,Faltou o chopp Brahma. Era uma tradição por lá. Uma pena,2 meses atrás,5,Sul,,
Glória Bar e Restaurante,"Cerveja gelada,bom atendimento,petiscos saborosos e ambiente agradável.",4 meses atrás,4,Sul,,
Glória Bar e Restaurante,"Restaurante tradicional, ambiente bem diferente, boa comida e cerveja gelada. Outubro/Novembro de cada ano tem semana Alemã com comida típica, interessante. Prost.",7 meses atrás,5,Sul,,
Glória Bar e Restaurante,Gostei muito. Bom atendimento. Boa comida. Música excelente,7 meses atrás,5,Sul,,
Glória Bar e Restaurante,"O estilo do bar é bem legal, lembra aqueles bares típicos do Rio (música e decoração). O atendimento é bom, a comida e a bebida estavam boas, porém não são tão bem servidas quanto deveriam, considerando os valores cobrados. No geral, é uma boa experiência pra quem gosta de um lugar mais tranquilo e tradicional.",9 meses atrás,4,Sul,,
Glória Bar e Restaurante,"Bar/Restaurante com diversidade no cardápio, bem servido e preço justo",2 meses atrás,5,Sul,,
Glória Bar e Restaurante,"Feijoada é gostosa, mas custa 82,00, o que não teria problema se as porções fossem generosas. No cardápio está escrito que a feijoada é pra 2 pessoas, mas está longe disso. Outro problema, o bar estava vazio e os garçons demoram a se dirigir até a mesa (chega a ser constrangedor). Saldo final: uma feijoada é uma coca cola lata por 97 reais. Eu e minha namorada saímos sem a sensação de saciedade, e olha que não somos de comer muito.",um ano atrás,1,Sul,,
Glória Bar e Restaurante,"Ambiente agradável. Atendimento ok. Petiscos caros (R$ 38,00 por uma porção pequena de torresmo). Cervejas caras, preços acima da média.",um ano atrás,3,Sul,,
Glória Bar e Restaurante,"Boteco bem tradicional. Porções pequenas e caras, e o tempero não é dos melhores. Bom atendimento.",6 meses atrás,4,Sul,,
Glória Bar e Restaurante,"Ótimos petiscos, música boa, cerveja especial top!",um ano atrás,5,Sul,,
Glória Bar e Restaurante,Excelente Atendimento da Lidiane já a 8 anos como Ouro da casa e do Rubens com o melhora Chopp Artesanal Glória!! Voltaremos com certeza! A melhor salada e o pastel de pequi com carne  deve ser experimentado! Os Gaúchos Adoraram! Pedro e karen,um ano atrás,5,Sul,,
Glória Bar e Restaurante,Excelente atendimento! Porções são bem gostosas.,3 meses atrás,4,Sul,,
Glória Bar e Restaurante,"Muito bom, ótima comida, cerveja gelada.",4 meses atrás,5,Sul,,
Glória Bar e Restaurante,"O ambiente é muito bom. Aos sábados tem uma feijoada maravilhosa, a Parmegiana também é maravilhosa e com ótima música ambiente e na parte da tarde tem música ao vivo. Preços não são tão baixos, mas vale muito a pena.",4 anos atrás,5,Sul,,
Glória Bar e Restaurante,Ambiente descontraído. Típico bar carioca. Adorável!,4 meses atrás,5,Sul,,
Glória Bar e Restaurante,"Ambiente super agradável e um atendimento excelente, lugar agradabilíssimo",2 meses atrás,5,Sul,,
Glória Bar e Restaurante,"Excelente atendimento, pratos diferenciados e ambiente nota mil",4 meses atrás,5,Sul,,
Glória Bar e Restaurante,"Fomos na ""segunda feira sem lei"" e nos divertimos muito. Pena que o bar fechou as 2h da manhã e que eu esqueci meu casaco preferido na cadeira do bar 😓 Comemos porção de pastel e bolinho de carne seca, ambas gostosas. Provem a pimenta e as cachaças. …",5 anos atrás,4,Sul,,
Glória Bar e Restaurante,"Boa mas não vale a pena! Pedi pra duas pessoas e de verdade me decepcionei. Não importo em pagar mais caro, mas não sair satisfeito é frustrante.  Pouquíssimo arroz, suficiente para uma pessoa, a feijoada serve duas pessoas que não comam muito. O que achei válido foi só o torresmo rsrs. Sobre o atendimento fiquei invisível quando cheguei.",um ano atrás,1,Sul,,
Glória Bar e Restaurante,"É um local que sempre vou, assim que chego às Goiânia. Tem vinhos com bons preços, uma salada de jiló, que é a melhor que já comi na vida.  O filé de tilápia com molho de alho, um quibe com coalhada, u.a rabada... Tudo de tirar o fôlego.",4 anos atrás,5,Sul,,
Glória Bar e Restaurante,"O atendimento é meio demorado, mas a feijoada de domingo é bem boa!",um ano atrás,4,Sul,,
Glória Bar e Restaurante,"Lugar simples, atendimento espetacular e comida deliciosa.",um ano atrás,5,Sul,,
Glória Bar e Restaurante,Cerveja gelada som ambiente agradável..,um ano atrás,4,Sul,,
Glória Bar e Restaurante,"A música estava alta ter um diálogo na mesa foi complicado, a feijoada estava muito grossa, não tinha calabresa e veio pouca nas porções que acompanhavam",8 meses atrás,3,Sul,,
Glória Bar e Restaurante,"Comida boa , bom atendimento porém ambiente sem ventilação",5 meses atrás,4,Sul,,
Glória Bar e Restaurante,"Amo!! Gafieira aos domingos, feijoada aos sábados, as quintas das laides e segunda sem lei ( paga um chopp e ganhe outro) .",5 anos atrás,5,Sul,,
Glória Bar e Restaurante,Bom ambiente o chopp brahma ainda continua top!e o chopp da casa  Os petiscos são variados. Contudo o preço moderado €€€,4 anos atrás,4,Sul,,
Glória Bar e Restaurante,"O local é muito interessante, eles colocam histórias nas paredes, porém os preços não são muito atrativo e a comida pelo menos a q comi ( moqueca de frango) não estava muito boa, molho ralo, frango sem tempero... mas os drinques eu gostei",um ano atrás,4,Sul,,
Glória Bar e Restaurante,"Atendimento ótimo, café ótimo e a opção vegana muito gostosa mesmo.",um ano atrás,5,Sul,,
Glória Bar e Restaurante,"Gostei, mas não é meu preferido.",3 semanas atrás,4,Sul,,
Glória Bar e Restaurante,"Aqui no Glória vc encontra história as paredes e a decoração em geral te levam a viajar por vários momentos da vida de grandes nomes seja da música, esportes, etc. Atendimento é aquele nota 1000 carinhoso educado e dedicado. Bebibas sempre como devem ser geladas nas cervejas, bem preparadas os drinks, uma carta de cachaças que não tem preço um mix que eu nunca vi em outro lugar. Obrigadoooo Glória!!!",um ano atrás,5,Sul,,
Glória Bar e Restaurante,"Ótimo atendimento, tira gosto muito bom, mas o Chopp não estava muito gelado, e não podíamos escutar o som da narração do jogo, lá somente pode assistir o jogo mas no mudo.",11 meses atrás,3,Sul,,
Glória Bar e Restaurante,"Sempre gostei muito do Glória. Bar histórico, decoração ímpar, cerveja estupidamente gelada, sem falar na carta de cachaças especiais que atenden a todos os gostos. Estivemos ontem no glória e um dos pratos que pedimos veio com alguns problemas, mas o carisma e a prontidão do gerente em resolver a situação, foi exatamente o que esperavamos do Glória. Situação resolvida e o segundo prato estava maravilhoso. Parabéns a todos. Nota 1000",um ano atrás,5,Sul,,
Glória Bar e Restaurante,"Gosto muito, ambiente, atendimento e som mto agradáveis! Sem dizer que servem chop escuro sempre!!",8 meses atrás,5,Sul,,
Glória Bar e Restaurante,"Boa música, boa comida, bons drinks (a julgar pelo tropical Mule) e bom atendimento. Pastel de carne com pequi em porção farta e bem preparada. Recomendo!",4 anos atrás,5,Sul,,
Glória Bar e Restaurante,"Excelente ambiente, melhor bolinho de bacalhau de Goiânia! Melhor chopp IPA da região!!! Melhor carpaccio de rosbife!!!",2 anos atrás,5,Sul,,
Glória Bar e Restaurante,Ambiente diferenciado. Clima de boteco carioca.,um mês atrás,4,Sul,,
