COMERCIO,COMENTÁRIO,DATA,AVALIACAO,SETOR,TextBlob,Unnamed: 6,texto_traduzido
Nova Opção de Bilhar,Melhor local do universitário. Preço justo. Comidinhas gostosas. Atendimento tranquilo.Local com diversidade de público. Ponto que chama muita atenção,2023-02-24 00:00:00,5,Leste universitário,,,Best place in the university student. Fair price. Hot foods. Quiet service.Local with audience diversity. Point that draws a lot of attention
Nova Opção de Bilhar,"Litrão super gelado e espaço bacana. Mas já passei situações de preconceito de clientes que se acham no direito de se intrometer na vida particular de pessoas LGBT, bastante desagradável. Fora isso recomendo o bar! 4 estrelas!",2022-12-17 00:00:00,4,Leste universitário,,,"Super cold liter and cool space. But I've passed prejudice situations of clients who are entitled to intrude on the private life of LGBT people, quite unpleasant. Other than that I recommend the bar! 4 stars!"
Nova Opção de Bilhar,Melhor lugar pra brincar de sinuca tomando uma coca cola gelada,2 meses atrás,5,Leste universitário,,,Best place to play pool taking a cold cola
Nova Opção de Bilhar,"Fecha cedo, poucas opções de bebida, poucas opções de comida atendimento razoável...",2 meses atrás,3,Leste universitário,,,"Closes early, few drink options, few food options reasonable service ..."
Nova Opção de Bilhar,Ótima jantinha e cerveja super gelada.,um mês atrás,5,Leste universitário,,,Great dinner and super cold beer.
Nova Opção de Bilhar,"Amo o lugar, tô sempre. Os funcionários são tudo gente boa  (Rose, Alan, Francisco e Caio) lugar top, cerveja gelada e comida gostosa 🍻 …",9 meses atrás,5,Leste universitário,,,"I love the place, I'm always. The employees are all good people (Rose, Alan, Francisco and Caio) Place Top, cold beer and hot food 🍻…"
Nova Opção de Bilhar,Jantinha deliciosa! Espetinhos honestos. Cerveja gelada!,4 meses atrás,4,Leste universitário,,,Delicious dinner! Honest skewers. Cold beer!
Nova Opção de Bilhar,"Barzinho ótimo, preços acessíveis, cerveja bem gelada, comida saborosa, cardápio relativamente amplo; funcionários alegres, bem educados, prestativos, servem rápido.",um ano atrás,5,Leste universitário,,,"Great bar, affordable prices, very cold beer, tasty food, relatively wide menu; Happy, well -educated, helpful employees serve fast."
Nova Opção de Bilhar,"As mesas de sinuca são boas, mas o ambiente ainda não é refrigerado, deixa a desejar na higienização, a jantinha que pedi demorou 1 hora para ser servida, enfim, tem que melhorar um pouco mais",um ano atrás,2,Leste universitário,,,"The pool tables are good, but the atmosphere is not yet refrigerated, leaves something to be desired in cleaning, the dinner I ordered it took 1 hour to serve, finally, has to improve a little more"
Nova Opção de Bilhar,Lugar muito bom pra tomar aquela cerveja gelada. E jogar uma sinuca ( bilhar ) da melhor forma possível mesa bem alinhada muito bom pra fazer jogadas e tabelas incríveis,um ano atrás,5,Leste universitário,,,Very good place to have that cold beer. And throw a (billiard) pool in the best way possible table well aligned very good to make amazing moves and tables
Nova Opção de Bilhar,"Amo o lugar, excelentes funcionários… Quero parabenizar o garçom Luciano, nota 10000 🙃 ",7 meses atrás,4,Leste universitário,,,"I love the place, excellent employees… I want to congratulate the waiter Luciano, note 10000 🙃"
Nova Opção de Bilhar,Atendimento mais ou menos e ainda quer 10%,um mês atrás,3,Leste universitário,,,Service more or less and still wants 10%
Nova Opção de Bilhar,"Local ideal para tomar aquele litrão em conta e encontrar os amigos! Ambiente agradável e de fácil acesso. Tem sinuca, jantinhas e porções. Os banheiros geralmente são limpos.",um ano atrás,5,Leste universitário,,,"Ideal place to take that liter into account and find friends! Environmental environment and easily accessible. It has a pool, dinner and portions. Bathrooms are usually clean."
Nova Opção de Bilhar,"É um boteco clássico como tantos outros de Goiânia. O maior diferencial, além do bom atendimento, está na excelente trilha sonora, que vai para o lado do pop e do rock, em vez do tradicional sertanejo que domina a maioria dos lugares.",um ano atrás,5,Leste universitário,,,"It is a classic bar like so many others from Goiânia. The biggest differential, besides the good service, is in the excellent soundtrack, which goes to the side of pop and rock, instead of the traditional backcountry that dominates most places."
Nova Opção de Bilhar,"Ótimo bar para quem procura bebidas super gelada. Jantinha de qualidade,  espetinho delicioso! Valores acessíveis!",um ano atrás,5,Leste universitário,,,"Great bar for those looking for super cold drinks. Quality dinner, delicious skewers! Accessible values!"
Nova Opção de Bilhar,"Bar é legal pra beber uma cerveja gelada o preço também é atrativo para o litrão, tem bons garçons, e a jantinha não provei mas minha namorada gostou, o ponto negativo são os banheiros, pelo tamanho do bar deveria ter pelo menos uns 3 a 4 mictórios ou vazos sanitários. Tem apenas um vazo sanitário e a higiene do banheiro é horrível.",3 anos atrás,3,Leste universitário,,,"Bar is cool to drink a cold beer the price is also attractive to the liter, has good waiters, and Jantinha did not prove but my girlfriend liked it, the negative point is the bathrooms, by the size of the bar should be at least 3-4 MICERTICS OR SANITARY ENGLES. It has only one toilet leak and the bathroom hygiene is horrible."
Nova Opção de Bilhar,"Já foi um dos lugares que mais frequentava semanalmente. Desde que mudaram os garçons,  pedidos não são anotados, valores são contabilizados errados, demoras desproporcionais por conta de desorganização, garçons literalmente ignorando pessoas nas mesas, além  doda cobranças 10% (que é recente e opcional para o cliente). Infelizmente evito ir porque ocorrem situações de estresse e não é meu objetivo quando pretendo sair. Entendo que por padrão não é o lugar para se ter o melhor atendimento da cidade, porém está inviável ter problemas todas as últimas vezes no último mês.",4 anos atrás,2,Leste universitário,,,"It was once one of the places that frequented the most weekly. Since changed the waiters, requests are not noted, values ​​have been wrong, disproportionate delays because of disorganization, waiters literally ignoring people at the tables, and 10% charges (which is recent and optional for the customer). Unfortunately I avoid going because situations of stress occurs and it is not my goal when I intend to leave. I understand that by default it is not the place to have the best service in the city, but it is unfeasible to have problems every last time in the last month."
Nova Opção de Bilhar,"Perfeito lugar, minha segunda casa. Cerveja de garrafa e uma cinuca de primeira. Recomendo sempre. Garçons super educados!",um ano atrás,5,Leste universitário,,,"Perfect place, my second home. Bottle beer and a first cinuca. I always recommend. Super educated waiters!"
Nova Opção de Bilhar,"Já visitei algumas vezes, joguei muita sinuca com amigos e amigas nesse lugar. A jantinha é até que boa. Preço bom no litrão. Porém, recentemente descobri que o dono foi homofóbico com alguns clientes. Na sociedade de hoje isso é inadmissível, claramente não será mais uma opção de bilhar.",3 ano atrás,1,Leste universitário,,,"I've visited a few times, I played a lot of pool with friends and friends in this place. Jantinha is even good. Good price in the liter. However, I recently found that the owner was homophobic with some customers. In today's society this is inadmissible, clearly it will no longer be a billiard option."
Nova Opção de Bilhar,"Típico bar de estudante. Mesas de sinuca, espetinho e cerveja. Lugar descontraído.",7 meses atrás,4,Leste universitário,,,"Typical student bar. Pool tables, skewer and beer. Relaxed place."
Nova Opção de Bilhar,Local ótimo!!!! Atendimento maravilhoso!,um mês atrás,5,Leste universitário,,,Great location !!!! Wonderful service!
Nova Opção de Bilhar,"Achei o lugar bem abafado, mas fora isso muito bom",2 anos atrás,5,Leste universitário,,,"I found the place very muffled, but otherwise it is very good"
Nova Opção de Bilhar,"Muito bom, lugar tranquilo e música agradável(não é alta), vale a pena.",um ano atrás,5,Leste universitário,,,"Very good, quiet place and nice music (not tall), it's worth it."
Nova Opção de Bilhar,"O lugar é bem legal, amplo com muitas mesas de sinuca e a cerveja gelada e espetinhos gostosos. Só o que tenho a reclamar é sobre o pessoal do bar não ter feito nada em relação a um cara que nos incomodou na mesa, um estranho chegou e sentou na nossa mesa reclamamos mas os garçons não fizeram nada então só mudamos de mesa.",5 anos atrás,4,Leste universitário,,,"The place is very cool, wide with many pool tables and cold beer and tasty skewers. Just what I have to complain about is about the bar staff didn't do anything about a guy who bothered us at the table, a stranger arrived and sat on our table complained but the waiters did nothing so we just changed table."
Nova Opção de Bilhar,"Lugar é muito bom, precisa melhor a parte da sinuca é muito quente, mesmo após ligar o ventilador gigante fica abafado ameniza bastante, mas ainda abafado. Mas a cerveja é bem gelada.",4 anos atrás,3,Leste universitário,,,"Place is very good, needs the most hot part of the pool, even after turning on the giant fan is muffled very much, but still muffled. But the beer is very cold."
Nova Opção de Bilhar,Muito bom o lugar adoro ir lá.,Muito bom o lugar adoro ir lá.,5,Leste universitário,,,Very good the place I love to go there.
Nova Opção de Bilhar,Lugar muito agradável tranquilo pode ir cm ha familia cerveja bem gelada bom petisco uma jantinha muito gostosa e barata va e confira sempre vai estar la to la tds os dias vcs nao vai se arrepender bom atendimento show de bola,4 anos atrás,5,Leste universitário,,,Very nice place calm can go cm there is family beer well cold good snack a very hot and cheap dinner va and check it will always be there to tds the days you will not regret good service ball show
Nova Opção de Bilhar,"Ótimo passa tempo, tem cerveja com o buquê, e dá pra errar umas bolinha de sinuca com sucesso 🤙",um ano atrás,5,Leste universitário,,,"Great spends time, has beer with the bouquet, and you can make a few pool ball successfully 🤙"
Nova Opção de Bilhar,"Um ótimo lugar para pessoas LGBTs, cerveja Antártica 7,50, infelizmente não vende Itaipava.Mas quando chega às 23h os clientes são expulsos.Apesar dos pesares gosto muito do ambiente!",um ano atrás,4,Leste universitário,,,"A great place for LGBTS, Antarctic Beer 7.50, unfortunately it does not sell Itaipava. But when it arrives at 23h customers are expelled."
Nova Opção de Bilhar,Ambiente tranquilo para jogar uma sinuca ou mesmo para comer um petisco.,9 meses atrás,5,Leste universitário,,,Quiet environment to play a pool or even to eat a snack.
Nova Opção de Bilhar,"Cervejaaaa super gelada, o ambiente agradável e o atendimento do funcionário Alan impecável, atencioso e cordial. 👏🏻👍🏻 …",um ano atrás,5,Leste universitário,,,"Super cold beer, the pleasant atmosphere and the service of the flawless, attentive and cordial employee. 👏🏻👍🏻…"
Nova Opção de Bilhar,"Botecão. Cerveja gelada, tira gostos e sinuca. Aberto até tarde (Pena que fecha.) Para beber sem frescura, melhor da cidade.",2 anos atrás,5,Leste universitário,,,"Botecão. Cold beer, takes tastes and pool. Open late (pity that closes.) To drink without frills, best in town."
Nova Opção de Bilhar,"Serviço péssimo, falta de respeito com cliente, comida cara de qualidade ordinária, não recomendo :)",um ano atrás,1,Leste universitário,,,"Poor service, lack of respect with customer, food of ordinary quality face, I do not recommend :)"
Nova Opção de Bilhar,"Cerveja gelada no ponto certo, excelente cardápio, sabor da comida bem caseiro. Lugar simples mas que proporciona bons momentos.",2 anos atrás,5,Leste universitário,,,"Cold beer at the right point, excellent menu, taste of very homemade food. Simple place but provides good times."
Nova Opção de Bilhar,"A cerveja é bem barata, porém não muito confiável referente a originalidade. O atendimento é bom. Comida poderia ser mais acessível pelo ambiente e qualidade.",3 anos atrás,3,Leste universitário,,,"Beer is very cheap, but not very reliable regarding originality. The service is good. Food could be more accessible by the environment and quality."
Nova Opção de Bilhar,"Lugar tranquilo, tem 6 mesas de sinuca. Cerveja e comida boa.",um ano atrás,4,Leste universitário,,,"Quiet place, there are 6 pool tables. Beer and good food."
Nova Opção de Bilhar,cerveja bem gelada mesas de sinuca otimas preço bacana. publico jovem e descolados e diversos garçons bem preparados otimo local,2 anos atrás,5,Leste universitário,,,Well cold beer optimal pool tables. Public Young and Cool and several well -prepared waiters great place
Nova Opção de Bilhar,"Horrível !!!!! Pedi um torresmo , misericórdia passei até mau! Frio , caro , e não era torresmo do porco , parecia aqueles de saquinho que compra pra criança no mercado ! Affs",2 anos atrás,1,Leste universitário,,,"Horrible !!!!! I ordered a crackling, mercy I went to bad! Cold, expensive, and it wasn't pork crackling, it looked like those who buy a child on the market! Affs"
Nova Opção de Bilhar,Péssimo lugar não recomendo. Atendimento nota zero. Única coisa boa foi o feijão. Lugar até fede,2 anos atrás,1,Leste universitário,,,Bad place I do not recommend. ZERO NOTE SERVICE. The only good thing was the beans. Place until stares
Nova Opção de Bilhar,"Melhor bar de Goiânia, cerveja geladissima, vinagrete top demais, espetinho na hora. Perfeito",um ano atrás,5,Leste universitário,,,"Best Bar in Goiânia, Gleadosima beer, too top vinaigrette, skewers on time. Perfect"
Nova Opção de Bilhar,O que antes era a melhor opção tem se tornar no a pior opção. Houve uma mudança na equipe de atendimento e simplesmente está impossível ter uma boa noite de diversão no lugar. Muito triste pelo que o estabelecimento se tornou.,4 anos atrás,1,Leste universitário,,,What was once the best option has become the worst option. There was a change in the service team and it is simply impossible to have a good night of fun in place. Very sad for what the establishment became.
Glória Bar e Restaurante,"Visitei o local em horário de almoço, o atendimento foi excelente, local super agradável, comida excelente... mas os valores são bem salgados.",um mês atrás,5,Sul,,28/7,"I visited the place at lunchtime, the service was excellent, super nice place, excellent food ... but the values ​​are very salty."
Glória Bar e Restaurante,"É bacana! Mas achei muito caro, comparando a outros bares bons de Goiânia!",2 meses atrás,5,Sul,,,"It's cool! But I found it very expensive, comparing other good bars from Goiânia!"
Glória Bar e Restaurante,Ambiente super agradável! Atendimento nata 10 ! Garçom Fred super atencioso .,5 meses atrás,5,Sul,,,Super nice environment! NATA 10 service! Fred waiter super attentive.
Glória Bar e Restaurante,"Um super ""boteco"" . Agradável, iluminação super boa, música muito legal e um atendimento primoroso. Os garçons são praticamente amigos, mãos que atendentes. Muita comida boa, petiscos ótimos e uma cerveja super gelada. Chopp tambem é ótimo, inclusive um chopp IPA. Não funciona as terças-feiras. Um lugar descontraído, plural, com gente interessante. Vale muito a visita.",4 semanas atrás,4,Sul,,,"A super ""boteco"". Nice, super good lighting, really cool music and exquisite service. The waiters are practically friends, hands that attendants. Lots of good food, great snacks and a super cold beer. Chopp is also great, including an IPA draft beer. No Tuesday works. A relaxed place, plural, with interesting people. It is very worth the visit."
Glória Bar e Restaurante,"Restaurante/bar de fácil acesso em Goiânia, tem fabricação própria do Chopp excelente, o melhor que tomei, o volume do som é agradável assim como todo restante, comida é servida rápida, pena que não dá pra levar as crianças pq não tem playground. Mas ir com amigos é top",9 meses atrás,5,Sul,,,"Easy to access restaurant/bar in Goiânia, has its own manufacture of the excellent draft beer, the best I took, the volume of the sound is pleasant just like all the rest, food is served quickly, pity that you can not take the kids because there is no playground. But going with friends is top"
Glória Bar e Restaurante,"Ainda longe de ser um boteco tradicional! Comida sem sal, parmegiana muito molho, faltou sabor, queijo de baixa qualidade! Atendimento razoável! Cobram 10 reais um pão francês para xuxar o pão no molho da carne! Não vale o preço!",3 semanas atrás,2,Sul,,,"Still far from being a traditional bar! Food without salt, parmigiana very sauce, lacking flavor, low quality cheese! Reasonable service! They charge 10 reais a French bread to xux the bread in the meat sauce! It's not worth the price!"
Glória Bar e Restaurante,"A comida estava tão gostosa que nem deu tempo de tirar foto. A música sempre muito boa, mpb, samba e afins. Os drinks da foto são o mojito de tangerina e moscou mule: ambos gostosos e refrescantes para acompanhar a feijoada. Estacionar por perto é, na maioria das vezes, um desafio por estar sempre cheio.",um ano atrás,5,Sul,,,"The food was so hot that there was no time to take a picture. The music always very good, MPB, samba and the like. The drinks in the photo are the mojito of Tangerina and Moscow Mule: both hot and refreshing to accompany the feijoada. Parking nearby is, most of the time, a challenge for always being full."
Glória Bar e Restaurante,"Boteco que tinha tudo pra dar certo, boa localização, porém peca No atendimento, na entrega, os pratos demoram muito, além disso não são bons. Estive no boteco pelo menos por três vezes pra escrever essa avaliação",3 semanas atrás,2,Sul,,,"Boteco that had everything to work, good location, but sins in the service, delivery, the dishes take a long time, besides not good. I was at the boteco at least three times to write this assessment"
Glória Bar e Restaurante,"Bar maravilhoso em tudo: bons petiscos, chope gelado, musica excelente   pessoal simpático e atencioso. Amei.",8 meses atrás,5,Sul,,,"Wonderful bar in everything: good snacks, cold draft beer, excellent music friendly and attentive. I loved."
Glória Bar e Restaurante,"Sabe aquele bar raiz e que nos remete ao Rio de Janeiro? É o Glória. Vários quadros nas paredes, piso quadriculado, calçada de pedra portuguesa. Atendimento excepcional dos garçons e garçonetes. Cerveja estupidamente gelada e o torresmo estava maravilhoso, bem sequinho, crocante e ao mesmo tempo suculento.",um ano atrás,5,Sul,,,"Do you know that root bar that brings us to Rio de Janeiro? It is glory. Several paintings on the walls, checkered floor, Portuguese stone sidewalk. Exceptional care of waiters and waitresses. Stupidly cold beer and the crackling was wonderful, very dry, crispy and at the same time juicy."
Glória Bar e Restaurante,"O ambiente é muito interessante. A comida uma delícia. MAS o atendimento não foi bom. Logo quando chegamos o garçom já não foi muito receptivo. Eu estava com meu esposo, o garçom ficou perguntando se éramos irmãos e questionando questões relacionadas à idade dele (em nenhum momento foi solicitada a identidade). Fui ao caixa fechar a conta e decidi não pagar os 10% (além de eu não ter gostado do atendimento, tinha um aviso dizendo que, por lei, não é obrigatório pagar). A moça que me atendeu foi super grossa, questionou o motivo de eu não querer pagar e ficou gritando para o dono e para o garçom que era sem os 10%. Foi tão constrangedor que eu desisti de relatar o ocorrido com o garçom. O problema desses lugares é que trabalhador não gosta de atender trabalhador. Gosta de atender quem parece ser rico.",5 meses atrás,4,Sul,,,"The environment is very interesting. The food a delight. But the service was not good. As soon as we arrived the waiter was no longer very receptive. I was with my husband, the waiter kept asking if we were brothers and questioning issues related to his age (at no time was the identity). I went to the cashier to close the bill and decided not to pay the 10% (besides I didn't like the service, I had a warning saying that, by law, it is not mandatory to pay). The girl who answered me was super thick, questioned why I didn't want to pay and was shouting at the owner and the waiter who was without the 10%. It was so embarrassing that I gave up on reporting what happened to the waiter. The problem of these places is that worker does not like to serve worker. Likes to meet who seems to be rich."
Glória Bar e Restaurante,"Excelente ! É um bar ao estilo carioca, com lugares internos e externos (na calçada). Chopp gostoso e gelado, drinks e espumante, tira-gostos e pratos saborosos. O pastel de carne com pequi é imperdível.",2 meses atrás,4,Sul,,,"Great ! It is a carioca -style bar, with internal and external places (on the sidewalk). Hot and cold draft beer, drinks and sparkling wine, tasty straps and tasty dishes. The pastel of meat with pequi is a must see."
Glória Bar e Restaurante,"A feijoada é de boa qualidade. Excelente torresmo. Acho que vem couve refogada em excesso. Bons produtos e matéria prima. Porém, acho o valor alto de mais. Tem feijoadas tão boas quanto espalhadas pela cidade que não são tão caras. Encontro nos concorrentes pela metade do preço em bons estabelecimentos. Não acho que valha a pena gastar tanto num prato tão simples. Pode ter ganhado vários prêmios outrora de revistas especializada porém, isso não deveria refletir no preço. Parece feijoada de grife ou o termo da moda gourmet, de tão cara. Poderiam adequar o preço para atingir um público maior de pessoas. Não seria demérito nenhum reestruturar o cardápio e colocar os preços dentro da realidade econômica brasileira. Difícil fazer essa extravagância em comer a feijoada do Glória mais de uma vez por mês. Acho que nem valha a pena, o sacrifício financeiro!",10 meses atrás,3,Sul,,,"The feijoada is of good quality. Excellent crackling. I think there is excess braised cauliflower. Good products and raw materials. However, I find the high value too much. There are feijoadas as good as scattered around the city that they are not so expensive. Meeting in competitors by half the price in good establishments. I don't think it's worth spending so much on such a simple plate. You may have won several premiums once of specialized magazines but this should not reflect on the price. It looks like designer feijoada or the gourmet fashion term, so expensive. They could adapt the price to reach a larger audience of people. It would be no demerit to restructure the menu and put prices within the Brazilian economic reality. Difficult to make this extravagance to eat the feijoada of glory more than once a month. I don't think it's worth it, the financial sacrifice!"
Glória Bar e Restaurante,"Lugar super animado, música brasileira boa (tanto as playlists quanto as apresentações ao vivo), atendimento caloroso. Diversas opções de petiscos, pratos e bebidas. Decoração é um atrativo à parte, cheio de detalhes que remetem à artes e esportes.",4 meses atrás,5,Sul,,,"Super excited place, good Brazilian music (both playlists and live performances), warm service. Several options of snacks, dishes and drinks. Decoration is a separate attraction, full of details that refer to arts and sports."
Glória Bar e Restaurante,Na sua categoria um restaurante inigualável. Recomendo. Simplesmente divinoooo.,2 meses atrás,5,Sul,,,In its category an unparalleled restaurant. I recommend. Simply divinoooo.
Glória Bar e Restaurante,"Avaliação da minha filha: Eu amei a feijoada ela é maravilhosa! Tudo de bom , e o petit gateau que eu pedi era DIVINO!! O bolinho dele estava quentinho e o sorvete combinava perfeitamente ! O atendimento estava ótimo . Amei !!",3 meses atrás,5,Sul,,,"My daughter's evaluation: I loved the feijoada she is wonderful! All the best, and the petit gateau I asked was divine !! His cupcake was warm and the ice cream matched perfectly! The service was great. I loved !!"
Glória Bar e Restaurante,"Ótima comida (caldo e bacalhau), ótima IPA da casa. Excelente!",5 meses atrás,5,Sul,,,"Great food (broth and cod), great IPA of the house. Great!"
Glória Bar e Restaurante,"Local aconchegante, bastante decorado, tem uma vibe de boteco carioca, ótima feijoada, torresminho bom demais 🍺 …",um ano atrás,5,Sul,,,"Cozy place, very decorated, has a carioca bar vibe, great feijoada, Torresminho too good 🍺…"
Glória Bar e Restaurante,"Entrega o qu se vê, bar clássico e muito agradável. Os drink´s  sã ótimos e as comidinhas deliciosas, bom atendimento e musica boa. Recomendo...",2 meses atrás,5,Sul,,,"Deliver what you see, classic bar and very nice. The great drinks are great and the delicious food, good service and good music. I recommend..."
Glória Bar e Restaurante,"Local Agradável e excelente atendimento. Fomos em uma quinta-feira onde há dobradinha de drink e chopp para mulheres. No sábado saborosa feijoada, onde uma nos atendeu bem (casal) . Lembra botequim de SP, gostamos muito, voltaremos. Obs.: atendimento para nós foi 10.",3 meses atrás,5,Sul,,,"Nice place and excellent service. We went on a Thursday where there is a double drink and beer for women. On the tasty feijoada Saturday, where one served us well (couple). Reminds botequim from SP, we like it a lot, we'll be back. Note: Service for us was 10."
Glória Bar e Restaurante,"Lugar perfeito pra quem quer passar bons momentos. Fica ainda melhor, quando se está em ótimas companhias.",2 semanas atrás,5,Sul,,,Perfect place for those who want to have a good time. It gets even better when you are in great companies.
Glória Bar e Restaurante,"Melhor bar de Goiânia, o chopp e a porção de pastel são grandes diferenciais!",uma semana atrás,5,Sul,,,"Best Bar in Goiânia, the draft beer and the portion of pastel are big differentials!"
Glória Bar e Restaurante,"Música excelente, chopp bem gelado e atendimento excepcional. Super movimentado ao sábado, quando rola um sambão. Chegue cedo ou espere uma mesa, que pode demorar bastante. O couvert é R$ no sábado da feijoada, o que vale totalmente a experiência. Apenas como dica poderiam informar o valor no momento que o cliente se instalasse. Nada que tire a vibe maravilhosa do local! Ponto importantíssimo para se visitar na cidade e conhecer as raizes goianas.",3 anos atrás,5,Sul,,,"Excellent music, well -cold draft beer and exceptional service. Super busy on Saturday, when a sambão rolls. Arrive early or wait for a table, which can take a long time. The couvert is $ on Saturday of the feijoada, which is totally worth the experience. Only as a tip could they enter the value at the moment the customer settled. Nothing that takes the wonderful vibe out of the place! Very important point to visit in the city and get to know the Goiás roots."
Glória Bar e Restaurante,"Boa música,  ambiente agradável, bons drinks e o bolinho de carne seca com mandioca estava divino! Sequinho e crocante.",5 meses atrás,5,Sul,,,"Good music, pleasant atmosphere, good drinks and the dried meat with cassava was divine! Dry and crispy."
Glória Bar e Restaurante,"Excelente comida, adorei! Achei o preço um pouquinho caro, mas é realmente muito gostoso.",2 meses atrás,4,Sul,,,"Excellent food, I loved it! I found the price a little expensive, but it's really very tasty."
Glória Bar e Restaurante,Lugar muito aconchegante e receptivo! Ótimos atendentes. Comida boa e muita variedade!,2 meses atrás,5,Sul,,,Very cozy and receptive place! Great attendants. Good food and a lot of variety!
Glória Bar e Restaurante,Experiência muito boa. Nada a reclamar. Tudo estava bom e o atendimento excelente,um mês atrás,5,Sul,,,Very good experience. Nothing to complain. Everything was good and the service excellent
Glória Bar e Restaurante,"Bom atendimento. Preço compatível com o local. Bom ambiente. Apenas não gostei das cadeiras de madeira, bastante desconfortáveis",10 meses atrás,4,Sul,,,"Good service. Price compatible with the place. Good atmosphere. I just didn't like the wooden chairs, very uncomfortable"
Glória Bar e Restaurante,O bar mais carioca de Goiânia. Atendimento impecável e uma feijoada sem igual.,um ano atrás,5,Sul,,,The most carioca bar in Goiânia. Impeccable service and a unique feijoada.
Glória Bar e Restaurante,O melhor pastel de camarão em Goiânia. A feijoada e perfeita e o atendimento é indescritivelmente perfeito!!!,5 meses atrás,5,Sul,,,The best shrimp pastry in Goiânia. The feijoada and perfect and the service is indescribably perfect !!!
Glória Bar e Restaurante,Adoro esse lugar! Dia de sábado uma feijoada de primeira e um samba maravilhoso!!,3 anos atrás,5,Sul,,,I love this place! Saturday day a first feijoada and a wonderful samba !!
Glória Bar e Restaurante,"É muito gostoso a comida, mas o ambiente é um calor insuportável, os preços são absurdos",3 anos atrás,3,Sul,,,"Food is very tasty, but the environment is unbearable heat, prices are absurd"
